query_hist,current_time,memory_type,memory_subtype,content,place,related_person,start_time,end_time,remind_time,is_repeat_time,repeat_freq,repeat_value,repeat_last_time,start_time_chinese,end_time_chinese,remind_time_chinese
用户:今天2点要去看牙医; 你:2点到3点已经安排了健身课。看牙医要改个时间吗？; 用户:改成今天中午12点吧; 你:好的，大概需要多久啊？; 用户:差不多一小时吧; 你:提前半小时提醒你，可以吗？; 用户:好的,`2025-06-24 03:32:18,日程,医疗,去看牙医,,,`2025-06-24 12:00:00,`2025-06-24 13:00:00,`2025-06-24 11:30:00,否,,,,今天中午12点,今天中午1点,今天中午11点30分
用户:明天9点有个读书会，记录一下; 你:明天9点到10点已经有健身计划了。读书会要换个时间吗？; 用户:改到明天9点。; 你:好嘞，提前15分钟叫你，行不？; 用户:ok,`2025-06-24 03:32:18,日程,学习,有个读书会,,,`2025-06-25 09:00:00,,`2025-06-25 08:45:00,否,,,,明天9点,,提前15分钟
用户:后天下午两点有个读书会要参加; 你:后天下午两点到四点已经安排运动了。读书会要换个时间吗？; 用户:改到后天14点; 你:好的，会持续多久啊？; 用户:大概2小时吧; 你:提前1小时叫你，成不？; 用户:ok,`2025-06-24 03:32:18,日程,聚会,参加读书会,,,`2025-06-26 14:00:00,`2025-06-26 16:00:00,`2025-06-26 13:00:00,否,,,,后天14点,后天16点,后天13点
用户:周一13点有个展会; 你:周一13点到14点已经约好医生体检了。参加展会要换个时间吗？; 用户:改到周一14点。; 你:什么时间提醒你？; 用户:提前半小时提醒我,`2025-06-24 03:32:18,日程,展会,有个展会,,,`2025-06-30 14:00:00,,`2025-06-30 13:30:00,否,,,,周一14点,,提前半小时
用户:周二晚上8点有个展会要参加; 你:好的，什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-24 03:32:18,日程,展会,有个展会要参加,,,`2025-06-24 20:00:00,,`2025-06-24 19:00:00,否,,,,周二晚上8点,,提前1小时
用户:周三8点要去开项目会议; 你:好的，什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-24 03:32:18,日程,会议,去开项目会议,,,`2025-06-25 08:00:00,,`2025-06-25 07:45:00,否,,,,周三8点,,周三7点45分
用户:周四8点要去健身; 你:周四8点到9点已经有读书会了。健身要换个时间吗？; 用户:改到周四20点。; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-24 03:32:18,日程,运动,去健身,,,`2025-06-26 20:00:00,`2025-06-26 21:00:00,`2025-06-26 19:00:00,否,,,,周四20点,周四21点,周四19点
用户:周五10点有个健身课; 你:周五10点到11点已经安排家庭聚餐了。健身课要换个时间吗？; 用户:改到周五12点。; 你:什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-24 03:32:18,日程,运动,健身课,,,`2025-06-27 12:00:00,,`2025-06-27 11:45:00,否,,,,周五12点,,提前15分钟
用户:周六早上8点有个应酬，记录一下; 你:周六早上8点到9点已经有健身安排。这个应酬要换个时间吗？; 用户:不用换; 你:好嘞，提前3小时叫你，行不？; 用户:ok,`2025-06-24 03:32:18,日程,应酬,有个应酬,,,`2025-06-28 08:00:00,,`2025-06-28 05:00:00,否,,,,周六早上8点,,周六早上5点
用户:周日6点有个应酬，帮我记一下; 你:周日6点到7点已经有健身计划了。应酬要换个时间吗？; 用户:改到周日18点。; 你:好的，大概要多久啊？; 用户:大概2小时吧。; 你:提前3小时提醒你，可以吗？; 用户:行,`2025-06-24 03:32:18,日程,应酬,应酬,,,`2025-06-29 18:00:00,`2025-06-29 20:00:00,`2025-06-29 15:00:00,否,,,,周日18点,周日20点,周日15点
用户:周日晚上7点要去看演唱会; 你:周日晚上7点那会儿小张约了打球。演唱会要改个时间吗？; 用户:不用改; 你:什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-24 03:32:18,日程,演唱会,去看演唱会,,,`2025-06-29 19:00:00,,`2025-06-29 18:45:00,否,,,,周日晚上7点,,提前15分钟
用户:下周一9点有个展会，帮我记一下; 你:下周一9点到10点已经安排了医院体检。展会要换个时间吗？; 用户:改到下周一11点。; 你:好的，大概要持续多久啊？; 用户:大概1小时吧。; 你:提前3小时叫你，成不？; 用户:ok,`2025-06-24 03:32:18,日程,展会,有个展会,,,`2025-06-30 11:00:00,`2025-06-30 12:00:00,`2025-06-30 08:00:00,否,,,,下周一11点,下周一12点,下周一8点
用户:下周二下午3点有个展会，帮我记一下; 你:好的，什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-24 03:32:18,日程,展会,有个展会,,,`2025-07-01 15:00:00,,`2025-07-01 14:00:00,否,,,,下周二下午3点,,下周二下午2点
用户:下周二晚上8点有个客户会议，帮我记一下; 你:下周二20点到21点时间段已经在健身了。这个会议要换个时间吗？; 用户:改到下周三20点。; 你:好的，这个会议大概要开多久啊？; 用户:大概2小时吧。; 你:提前15分钟提醒你可以吗？; 用户:好的,`2025-06-24 03:32:18,日程,会议,有个客户会议,,客户,`2025-07-02 20:00:00,`2025-07-02 22:00:00,`2025-07-02 19:45:00,否,,,,下周三20点,下周三22点,下周三19点45分
用户:下周二中午12点有个体检要记录一下; 你:下周二12点到下午1点已经有健身课了。体检要换个时间吗？; 用户:改到下周四12点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前3小时叫你，成不？; 用户:ok,`2025-06-24 03:32:18,日程,医疗,体检,,,`2025-07-03 12:00:00,`2025-07-03 14:00:00,`2025-07-03 09:00:00,否,,,,下周四12点,下周四2点,下周四9点
用户:下周四晚上8点有个工作会议，记录一下; 你:下周四20点到21点已经有项目复盘会了。工作会议要换个时间吗？; 用户:改到下周五20点吧; 你:好的，需要持续多久啊？; 用户:大概2小时吧; 你:提前2小时叫你，可以吗？; 用户:ok,`2025-06-24 03:32:18,日程,会议,工作会议,,,`2025-07-04 20:00:00,`2025-07-04 22:00:00,`2025-07-04 18:00:00,否,,,,下周五20点,下周五22点,下周五18点
用户:下周六下午4点有个客户会议，帮我记一下; 你:下周六下午4点到6点已经安排了健身计划。这个客户会议要改个时间吗？; 用户:改成下周六下午5点吧; 你:好的，会开多长时间啊？; 用户:大概2小时吧; 你:提前3小时提醒你可以吗？; 用户:行,`2025-06-24 03:32:18,日程,会议,有个客户会议,,客户,`2025-07-05 17:00:00,`2025-07-05 19:00:00,`2025-07-05 14:00:00,否,,,,下周六下午5点,下周六下午7点,下周六下午2点
用户:下周日14点有个读书会; 你:好的，会持续多久啊？; 用户:大概3小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-24 03:32:18,日程,学习,有个读书会,,,`2025-07-06 14:00:00,`2025-07-06 17:00:00,`2025-07-06 13:00:00,否,,,,下周日14点,下周日17点,下周日13点
用户:下周天15点想去看展会记录一下; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-24 03:32:18,日程,展会,去看展会,,,`2025-07-06 15:00:00,`2025-07-06 16:00:00,`2025-07-06 14:00:00,否,,,,下周天15点,下周天16点,下周天14点
用户:今天下午1点要去看医生; 你:今天下午1点到2点已经安排购物了。看医生要换个时间吗？; 用户:不用换了。; 你:好嘞，提前1小时叫你，行不？; 用户:好的,`2025-06-25 01:33:19,日程,医疗,去看医生,,,`2025-06-25 13:00:00,,`2025-06-25 12:00:00,否,,,,今天下午1点,,今天中午12点
用户:明天10点有个健身课，帮我记一下; 你:明天10点到11点已经有读书会了。健身课要换个时间吗？; 用户:改到明天18点; 你:好的，会持续多久啊？; 用户:大概2小时吧; 你:提前1小时叫你，成不？; 用户:ok,`2025-06-25 01:33:19,日程,运动,健身课,,,`2025-06-26 18:00:00,`2025-06-26 20:00:00,`2025-06-26 17:00:00,否,,,,明天18点,明天20点,明天17点
用户:后天下午5点有个会议，帮我记一下; 你:后天5点到6点已经安排了健身课。会议要改个时间吗？; 用户:不改了，就按原计划; 你:好的，会议大概持续多久啊？; 用户:大概2小时吧; 你:提前1小时提醒你，可以吗？; 用户:没问题,`2025-06-25 01:33:19,日程,会议,有个会议,,,`2025-06-27 17:00:00,`2025-06-27 19:00:00,`2025-06-27 16:00:00,否,,,,后天下午5点,后天晚上7点,后天下午4点
用户:周一18点要去看牙医; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-25 01:33:19,日程,医疗,去看牙医,,,`2025-06-30 18:00:00,`2025-06-30 20:00:00,`2025-06-30 17:00:00,否,,,,周一18点,周一20点,周一17点
用户:周二下午2点有个客户会议; 你:好的，什么时间提醒你？; 用户:提前3小时提醒我,`2025-06-25 01:33:19,日程,会议,有个客户会议,,客户,`2025-07-01 14:00:00,,`2025-07-01 11:00:00,否,,,,周二下午2点,,提前3小时
用户:周三11点有个展会，记录一下; 你:周三11点到12点已经有工作会议了。展会要换个时间吗？; 用户:改到周三11点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-25 01:33:19,日程,展会,有个展会,,,`2025-06-25 11:00:00,`2025-06-25 13:00:00,`2025-06-25 10:45:00,否,,,,周三11点,周三1点,周三10点45分
用户:周四18点有个健身课，帮我记一下; 你:周四18点到19点已经有项目会议了。健身课要换个时间吗？; 用户:改到周四8点; 你:好的，会持续多久啊？; 用户:大概1小时吧; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-25 01:33:19,日程,运动,健身课,,,`2025-06-26 08:00:00,`2025-06-26 09:00:00,`2025-06-26 07:45:00,否,,,,周四8点,周四9点,周四7点45分
用户:周五11点要去看牙医; 你:周五11点到12点已经安排了健身课。看牙医要改个时间吗？; 用户:改到周五13点。; 你:什么时间提醒你？; 用户:提前3小时提醒我,`2025-06-25 01:33:19,日程,医疗,去看牙医,,,`2025-06-27 13:00:00,,`2025-06-27 10:00:00,否,,,,周五13点,,提前3小时
用户:周六18点有个工作会议，记录一下; 你:周六上午18点到19点已经有健身计划了。工作会议要换个时间吗？; 用户:改到周六11点; 你:好的，会持续多久啊？; 用户:大概1小时吧; 你:提前1小时叫你，成不？; 用户:ok,`2025-06-25 01:33:19,日程,会议,工作会议,,,`2025-06-28 11:00:00,`2025-06-28 12:00:00,`2025-06-28 10:00:00,否,,,,周六11点,周六12点,周六10点
用户:周日16点有个读书会，帮我记一下; 你:周日16点到17点已经有健身课了。读书会要换个时间吗？; 用户:改到周日16点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前半小时叫你，成不？; 用户:ok,`2025-06-25 01:33:19,日程,聚会,有个读书会,,,`2025-06-29 16:00:00,`2025-06-29 18:00:00,`2025-06-29 15:30:00,否,,,,周日16点,周日18点,周日15点30分
用户:周日10点有个读书会，记录一下; 你:周日10点到11点已经有健身课了。读书会要换个时间吗？; 用户:改到周天12点; 你:好的，会持续多久啊？; 用户:大概2小时吧; 你:提前半小时叫你，成不？; 用户:好,`2025-06-25 01:33:19,日程,学习,有个读书会,,,`2025-06-29 12:00:00,`2025-06-29 14:00:00,`2025-06-29 11:30:00,否,,,,周天12点,周天2点,周天11点30分
用户:下周一14点有个工作面试; 你:好的，会持续多久啊?; 用户:大概1小时吧; 你:什么时间提醒你?; 用户:提前1小时提醒我,`2025-06-25 01:33:19,日程,面试,工作面试,,,`2025-06-30 14:00:00,`2025-06-30 15:00:00,`2025-06-30 13:00:00,否,,,,下周一14点,下周一15点,下周一13点
用户:下周二9点有个部门会议要开; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-25 01:33:19,日程,会议,有个部门会议要开,,,`2025-07-01 09:00:00,`2025-07-01 10:00:00,`2025-07-01 08:00:00,否,,,,下周二9点,下周二10点,下周二8点
用户:下周三9点要去看牙医; 你:下周三9点到10点已经有健身课安排了。看牙医要换个时间吗？; 用户:改到下周三下午2点吧; 你:提前2小时叫你，可以吗？; 用户:好的,`2025-06-25 01:33:19,日程,医疗,去看牙医,,,`2025-07-02 14:00:00,,`2025-07-02 12:00:00,否,,,,下周三下午2点,,提前2小时
用户:下周四17点有个读书会，帮我记一下; 你:下周四17点到18点已经有健身课了。读书会要换个时间吗？; 用户:改到下周四19点吧。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前3小时叫你，成不？; 用户:ok,`2025-06-25 01:33:19,日程,学习,有个读书会,,,`2025-07-03 19:00:00,`2025-07-03 21:00:00,`2025-07-03 16:00:00,否,,,,下周四19点,下周四21点,下周四16点
用户:下周五3点要去看牙医，帮我记一下; 你:下周五3点到4点已经有健身课安排。看牙医要换个时间吗？; 用户:改到下周五15点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前1小时叫你，成不？; 用户:成,`2025-06-25 01:33:19,日程,医疗,去看牙医,,,`2025-07-04 15:00:00,`2025-07-04 17:00:00,`2025-07-04 14:00:00,否,,,,下周五15点,下周五17点,下周五14点
用户:周六10点有个健身安排，帮我记一下; 你:周六10点到12点已经有就医预约了。健身要换个时间吗？; 用户:改到下周六10点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前2小时叫你，成不？; 用户:ok,`2025-06-25 01:33:19,日程,运动,健身安排,,,`2025-07-05 10:00:00,`2025-07-05 12:00:00,`2025-07-05 08:00:00,否,,,,下周六10点,下周六12点,下周六8点
用户:下周日晚上8点有个工作会议，记录一下; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-25 01:33:19,日程,会议,有个工作会议,,,`2025-07-06 20:00:00,`2025-07-06 22:00:00,`2025-07-06 19:00:00,否,,,,下周日晚上8点,下周日晚上10点,下周日晚上7点
用户:下周日13点有个客户会议，记一下; 你:下周日13点到14点已经安排了健身课程。客户会议要换个时间吗？; 用户:不用换，就这个时间; 你:好的，提前1小时提醒你成不？; 用户:可以,`2025-06-25 01:33:19,日程,会议,有个客户会议,,客户,`2025-07-06 13:00:00,,`2025-07-06 12:00:00,否,,,,下周日13点,,提前1小时
用户:今天10点有个会议，帮我记下来; 你:10点到11点已经有培训安排了。会议要换个时间吗？; 用户:改到下午2点吧; 你:好的，会持续多久啊？; 用户:大概1小时吧; 你:提前2小时叫你，成不？; 用户:ok,`2025-06-26 01:21:47,日程,会议,有个会议,,,`2025-06-26 14:00:00,`2025-06-26 15:00:00,`2025-06-26 10:00:00,否,,,,今天下午2点,今天下午3点,今天上午10点
用户:明天8点要去看牙医; 你:明天8点到9点已经约了健身教练。看牙医要换个时间吗？; 用户:就明天晚上8点吧; 你:好的，大概要多久呢？; 用户:差不多1小时吧; 你:提前15分钟提醒你，可以吗？; 用户:好的,`2025-06-26 01:21:47,日程,医疗,去看牙医,,,`2025-06-27 20:00:00,`2025-06-27 21:00:00,`2025-06-27 19:45:00,否,,,,明天晚上8点,明天晚上9点,明天晚上7点45分
用户:明天早上8点有个体检要记一下; 你:明天早上8点已经有健身计划了。体检要换个时间吗？; 用户:改成后天8点吧; 你:什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-26 01:21:47,日程,医疗,有个体检,,,`2025-06-28 08:00:00,,`2025-06-28 07:45:00,否,,,,后天8点,,后天7点45分
用户:周一9点有个客户会议，帮忙记一下; 你:周一9点到10点已经有团队晨会安排了。客户会议要换个时间吗？; 用户:改到周二上午10点半吧。; 你:什么时间提醒你？; 用户:提前3小时提醒我,`2025-06-26 01:21:47,日程,会议,有个客户会议,,客户,`2025-07-01 10:30:00,,`2025-07-01 07:30:00,否,,,,周二上午10点半,,提前3小时
用户:下周二下午4点有个展会，帮我记一下; 你:下周二下午4点到5点已经约了健身。展会要换个时间吗？; 用户:改到这周二16点。; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:提前3小时叫你，成不？; 用户:ok,`2025-06-23 01:21:47,日程,展会,有个展会,,,`2025-06-24 16:00:00,`2025-06-24 17:00:00,`2025-06-24 13:00:00,否,,,,这周二16点,这周二17点,这周二13点
用户:下周三下午两点要去看牙医; 你:下周三下午两点到三点已经有健身课了。看牙医要换个时间吗？; 用户:改到这周三14点。; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-23 01:21:47,日程,医疗,去看牙医,,,`2025-06-25 14:00:00,`2025-06-25 15:00:00,`2025-06-25 13:45:00,否,,,,这周三14点,这周三15点,这周三13点45分
用户:下周四11点有个读书会，记录一下; 你:下周四11点到12点已经有健身课了。读书会要换个时间吗？; 用户:改到这周四11点。; 你:好的，提前3小时叫你，成不？; 用户:ok,`2025-06-23 01:21:47,日程,学习,有个读书会,,,`2025-06-26 11:00:00,,`2025-06-26 08:00:00,否,,,,这周四11点,,提前3小时
用户:下周五晚上6点有个工作会议，记录一下; 你:下周五晚上6点到7点已经有健身计划了。工作会议要换个时间吗？; 用户:改到这周五18点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前半小时叫你，成不？; 用户:ok,`2025-06-26 01:21:47,日程,会议,工作会议,,,`2025-06-27 18:00:00,`2025-06-27 20:00:00,`2025-06-27 17:30:00,否,,,,这周五18点,这周五20点,这周五17点30分
用户:周六下午4点有个加班会议; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-26 01:21:47,日程,会议,有个加班会议,,,`2025-06-28 16:00:00,`2025-06-28 18:00:00,`2025-06-28 15:00:00,否,,,,周六下午4点,周六下午6点,周六下午3点
用户:下周日上午10点有个工作会议，记一下; 你:下周日10点到11点已经有健身安排。工作会议要换个时间吗？; 用户:改到这周日10点。; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:提前半小时叫你，成不？; 用户:ok,`2025-06-26 01:21:47,日程,会议,工作会议,,,`2025-06-29 10:00:00,`2025-06-29 11:00:00,`2025-06-29 09:30:00,否,,,,这周日10点,这周日11点,这周日9点半
用户:下周天18点有个项目会议，帮我记下; 你:下周日18点到19点已经有健身课程了。项目会议要换个时间吗？; 用户:改到这周天18点。; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-26 01:21:47,日程,会议,项目会议,,,`2025-06-29 18:00:00,`2025-06-29 19:00:00,`2025-06-29 17:45:00,否,,,,这周天18点,这周天19点,这周天17点45分
用户:下周一晚上7点有个工作会议; 你:好的，什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-26 01:21:47,日程,会议,有个工作会议,,,`2025-06-30 19:00:00,,`2025-06-30 18:45:00,否,,,,下周一晚上7点,,下周一晚上6点45分
用户:周二晚上7点有个展会，记录一下; 你:周二19点到20点已经有客户会议了。展会要换个时间吗？; 用户:改到下周二19点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前1小时叫你，成不？; 用户:ok,`2025-06-26 01:21:47,日程,展会,有个展会,,,`2025-07-01 19:00:00,`2025-07-01 21:00:00,`2025-07-01 18:00:00,否,,,,下周二19点,下周二21点,下周二18点
用户:周三9点有个展会，帮我记一下; 你:周三9点到11点已经有工作会议了。展会要换个时间吗？; 用户:改到下周三下午2点; 你:好的，会持续多久啊？; 用户:大概2小时吧; 你:提前3小时叫你，成不？; 用户:ok,`2025-06-26 01:21:47,日程,展会,有个展会,,,`2025-07-02 14:00:00,`2025-07-02 16:00:00,`2025-07-02 11:00:00,否,,,,下周三下午2点,下周三下午4点,下周三上午11点
用户:周四13点有个展会，帮我记一下; 你:周四13点已经有就医安排了。展会要换个时间吗？; 用户:改成下周四13点; 你:什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-26 01:21:47,日程,展会,有个展会,,,`2025-07-03 13:00:00,,`2025-07-03 12:45:00,否,,,,下周四13点,,下周四12点45分
用户:下周五18点有个展会要去; 你:下周五18点到19点已经安排了健身。展会要换个时间吗？; 用户:不改了。; 你:什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-26 01:21:47,日程,展会,有个展会要去,,,`2025-07-04 18:00:00,,`2025-07-04 17:45:00,否,,,,下周五18点,,提前15分钟
用户:周六上午10点有个医疗检查，帮我记一下; 你:周六上午10点到11点已经约了健身教练。医疗检查要换个时间吗？; 用户:改到下周六10点。; 你:什么时间提醒你？; 用户:提前2小时提醒我,`2025-06-26 01:21:47,日程,医疗,有个医疗检查,,,`2025-07-05 10:00:00,,`2025-07-05 08:00:00,否,,,,下周六10点,,提前2小时
用户:下周日1点想去看画展，记一下; 你:下周日1点到2点已经有健身计划了。看画展要换个时间吗？; 用户:改到下周日13点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-26 01:21:47,日程,展会,去看画展,,,`2025-07-06 13:00:00,`2025-07-06 15:00:00,`2025-07-06 12:00:00,否,,,,下周日13点,下周日15点,下周日12点
用户:下周日晚上6点有个学习会，帮我记一下; 你:下周日晚上6点到7点已经安排了看牙医。学习会需要改时间吗？; 用户:不改了; 你:什么时间提醒你？; 用户:提前3小时提醒我,`2025-06-26 01:21:47,日程,学习,有个学习会,,,`2025-07-06 18:00:00,,`2025-07-06 15:00:00,否,,,,下周日晚上6点,,提前3小时
用户:今天上午10点要去看牙医; 你:好的，会看多久啊？; 用户:大概1小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-27 04:00:31,日程,医疗,去看牙医,,,`2025-06-27 10:00:00,`2025-06-27 11:00:00,`2025-06-27 09:00:00,否,,,,今天上午10点,今天上午11点,今天上午9点
用户:后天5点有个工作会议，记一下; 你:后天5点到6点已经安排健身了。工作会议要换个时间吗？; 用户:改成明天17点; 你:好的，会持续多久啊？; 用户:大概1小时吧; 你:提前半小时叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,会议,工作会议,,,`2025-06-28 17:00:00,`2025-06-28 18:00:00,`2025-06-28 16:30:00,否,,,,明天17点,明天18点,明天16点30分
用户:后天早上8点有个项目会议; 你:好的，需要提前3小时提醒你吗？; 用户:对,`2025-06-27 04:00:31,日程,会议,项目会议,,,`2025-06-29 08:00:00,,`2025-06-29 05:00:00,否,,,,后天早上8点,,后天早上5点
用户:周四13点有个会议要参加; 你:好的，什么时间提醒你？; 用户:提前2小时提醒我,`2025-06-27 04:00:31,日程,会议,有个会议要参加,,,`2025-07-03 13:00:00,,`2025-07-03 11:00:00,否,,,,周四13点,,提前2小时
用户:下周一7点有个展会，帮我记一下; 你:下周一7点已经有应酬了。展会要换个时间吗？; 用户:改成下周一晚上7点; 你:什么时间提醒你？; 用户:提前3小时提醒我,`2025-06-27 04:00:31,日程,展会,有个展会,,,`2025-06-30 19:00:00,,`2025-06-30 16:00:00,否,,,,下周一晚上7点,,下周一晚上4点
用户:下周二1点我要去看牙医; 你:下周二1点到2点已经有健身计划了。看牙医要换个时间吗？; 用户:改到下周二13点。; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,医疗,去看牙医,,,`2025-07-01 13:00:00,`2025-07-01 14:00:00,`2025-07-01 12:45:00,否,,,,下周二13点,下周二14点,下周二12点45分
用户:下周三8点有个健身课要上; 你:下周三8点到9点已经安排了看牙医。健身课要换个时间吗？; 用户:改到下周三20点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前3小时叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,运动,健身课,,,`2025-07-02 20:00:00,`2025-07-02 22:00:00,`2025-07-02 17:00:00,否,,,,下周三20点,下周三22点,下周三17点
用户:下周四11点有个读书会; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-27 04:00:31,日程,学习,有个读书会,,,`2025-07-03 11:00:00,`2025-07-03 13:00:00,`2025-07-03 10:00:00,否,,,,下周四11点,下周四13点,下周四10点
用户:下周五6点有个客户应酬; 你:下周五6点到7点已经安排了瑜伽课。客户应酬要换个时间吗？; 用户:改到下周五18点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,应酬,客户应酬,,客户,`2025-07-04 18:00:00,`2025-07-04 20:00:00,`2025-07-04 17:45:00,否,,,,下周五18点,下周五20点,下周五17点45分
