query_hist,current_time,memory_type,memory_subtype,content,place,related_person,start_time_has_hour,start_time_not_right,start_time,end_time,remind_time,is_repeat_time,repeat_freq,repeat_value,repeat_last_time,start_date_chinese,start_time_chinese
用户:下午2点多参加评审会,`2025-07-01 14:13:12,日程,会议,参加评审会,,,是,0,`2025-07-01 14:30:00,,,否,,,,,下午2点多
用户:2点多参加讨论会,`2025-07-01 14:13:12,日程,会议,参加讨论会,,,是,0,`2025-07-01 14:30:00,,,否,,,,,2点多
用户:下午2点多参加评审会,`2025-07-01 15:13:12,日程,会议,参加评审会,,,是,0,`2025-07-02 14:00:00,,,否,,,,,下午2点多
用户:2点多参加讨论会,`2025-07-01 15:13:12,日程,会议,参加讨论会,,,是,0,`2025-07-02 02:00:00,,,否,,,,,2点多
用户:下午2点左右参加分享会,`2025-07-02 14:13:12,日程,会议,参加分享会,,,是,0,`2025-07-02 14:30:00,,,否,,,,,下午2点左右
用户:2点左右参加项目启动会,`2025-07-02 14:13:12,日程,会议,参加项目启动会,,,是,0,`2025-07-02 14:30:00,,,否,,,,,2点左右
用户:下午2点左右参加方案评审会,`2025-07-02 15:13:12,日程,会议,参加方案评审会,,,是,0,`2025-07-03 14:00:00,,,否,,,,,下午2点左右
用户:2点左右参加技术讨论会,`2025-07-02 15:13:12,日程,会议,参加技术讨论会,,,是,0,`2025-07-03 02:00:00,,,否,,,,,2点左右
用户:下午2点左右参加分享会,`2025-07-02 13:52:12,日程,会议,参加分享会,,,是,0,`2025-07-02 14:00:00,,,否,,,,,下午2点左右
用户:2点左右参加项目启动会,`2025-07-02 13:52:12,日程,会议,参加项目启动会,,,是,0,`2025-07-02 14:00:00,,,否,,,,,2点左右
用户:晚上8点多参加评审会,`2025-07-01 20:07:12,日程,会议,参加评审会,,,是,0,`2025-07-01 20:30:00,,,否,,,,,晚上8点多
用户:8点多参加讨论会,`2025-07-01 20:07:12,日程,会议,参加讨论会,,,是,0,`2025-07-01 20:30:00,,,否,,,,,8点多
用户:晚上8点多参加评审会,`2025-07-01 21:07:12,日程,会议,参加评审会,,,是,0,`2025-07-02 20:00:00,,,否,,,,,晚上8点多
用户:8点多参加讨论会,`2025-07-01 21:07:12,日程,会议,参加讨论会,,,是,0,`2025-07-02 08:00:00,,,否,,,,,8点多
用户:晚上8左右多参加分享会,`2025-07-02 20:07:12,日程,会议,参加分享会,,,是,0,`2025-07-02 20:30:00,,,否,,,,,晚上8点左右
用户:8点左右参加项目启动会,`2025-07-02 20:07:12,日程,会议,参加项目启动会,,,是,0,`2025-07-02 20:30:00,,,否,,,,,8点左右
用户:晚上8点左右参加方案评审会,`2025-07-02 21:07:12,日程,会议,参加方案评审会,,,是,0,`2025-07-03 20:00:00,,,否,,,,,晚上8点左右
用户:8点左右参加技术讨论会,`2025-07-02 21:07:12,日程,会议,参加技术讨论会,,,是,0,`2025-07-03 08:00:00,,,否,,,,,8点左右
用户:晚上8点左右参加方案评审会,`2025-07-02 19:52:12,日程,会议,参加方案评审会,,,是,0,`2025-07-02 20:00:00,,,否,,,,,晚上8点左右
用户:8点左右参加技术讨论会,`2025-07-02 19:52:12,日程,会议,参加技术讨论会,,,是,0,`2025-07-02 20:00:00,,,否,,,,,8点左右
用户:8点多定一个技术评审会,`2025-07-04 20:07:12,日程,会议,技术评审会,,,是,0,`2025-07-04 20:30:00,,,否,,,,,8点多
用户:8点多定一个技术评审会,`2025-07-04 20:13:12,日程,会议,技术评审会,,,是,0,`2025-07-04 20:30:00,,,否,,,,,8点多
用户:8点多定一个技术评审会,`2025-07-04 20:25:12,日程,会议,技术评审会,,,是,0,`2025-07-04 20:30:00,,,否,,,,,8点多
用户:8点多定一个技术评审会,`2025-07-04 20:35:12,日程,会议,技术评审会,,,是,0,`2025-07-04 20:45:00,,,否,,,,,8点多
用户:8点多定一个技术评审会,`2025-07-04 20:44:12,日程,会议,技术评审会,,,是,0,`2025-07-04 20:45:00,,,否,,,,,8点多
用户:8点多定一个技术评审会,`2025-07-04 20:48:12,日程,会议,技术评审会,,,是,0,`2025-07-04 20:50:00,,,否,,,,,8点多
用户:8点多定一个技术评审会,`2025-07-04 20:55:12,日程,会议,技术评审会,,,是,0,`2025-07-04 20:59:00,,,否,,,,,8点多
用户:两分钟后提醒我给浩翔打个电话,`2025-07-04 09:22:33,待办,通讯,给浩翔打个电话,,浩翔,是,0,,,`2025-07-04 09:24:33,否,,,,,两分钟后
用户:三十分钟后提醒我给浩翔打个电话,`2025-07-04 09:22:33,待办,通讯,给浩翔打个电话,,浩翔,是,0,,,`2025-07-04 09:52:33,否,,,,,三十分钟后
用户:半小时后提醒我给浩翔打个电话,`2025-07-04 09:22:33,待办,通讯,给浩翔打个电话,,浩翔,是,0,,,`2025-07-04 09:52:33,否,,,,,半小时后
用户:一小时后提醒我给浩翔打个电话,`2025-07-04 09:22:33,待办,通讯,给浩翔打个电话,,浩翔,是,0,,,`2025-07-04 10:22:33,否,,,,,一小时后
用户:明天上午10点去迪士尼,`2025-07-04 08:32:12,日程,出行,去迪士尼,迪士尼,,是,0,`2025-07-05 10:00:00,,,否,,,,明天,上午10点
用户:后天开评审会，帮我记一下,`2025-07-04 12:46:28,日程,会议,开评审会,,,否,1,,,,否,,,,后天,
用户:大后天我要开一个汇报会,`2025-07-04 09:46:28,日程,会议,开一个汇报会,,,否,1,,,,否,,,,大后天,
用户:10点多去公园,`2025-07-04 09:22:12,日程,出行,,公园,,是,0,`2025-07-04 10:00:00,,,否,,,,,10点多
用户:10点去公园,`2025-07-04 09:45:12,日程,出行,去公园,公园,,是,0,`2025-07-04 10:00:00,,,否,,,,,10点
用户:七点一刻去公园,`2025-07-04 10:34:12,日程,出行,去公园,公园,,是,0,`2025-07-04 19:15:00,,,否,,,,,七点一刻
用户:周三上午9点我要去医院体检,`2025-07-04 10:34:12,日程,就医,去医院体检,,,是,0,`2025-07-09 09:00:00,,,否,,,,周三,上午9点
用户:这周三上午9点我要去医院体检,`2025-07-04 10:34:12,日程,就医,去医院体检,,,是,0,`2025-07-02 09:00:00,,,否,,,,这周三,上午9点
用户:这周六上午9点我要去医院体检,`2025-07-04 10:34:12,日程,就医,去医院体检,,,是,0,`2025-07-05 09:00:00,,,否,,,,这周六,上午9点
用户:下周一上午9点我要去医院体检,`2025-07-04 10:34:12,日程,就医,去医院体检,,,是,0,`2025-07-07 09:00:00,,,否,,,,下周一,上午9点
用户:下周六上午9点我要去医院体检,`2025-07-04 10:34:12,日程,就医,去医院体检,,,是,0,`2025-07-12 09:00:00,,,否,,,,下周六,上午9点
用户:下周日上午9点我要去医院体检,`2025-07-04 10:34:12,日程,就医,去医院体检,,,是,0,`2025-07-13 09:00:00,,,否,,,,下周日,上午9点
用户:下下周三上午9点我要去医院体检,`2025-07-04 10:34:12,日程,就医,去医院体检,,,是,0,`2025-07-16 09:00:00,,,否,,,,下下周三,上午9点
用户:7月29号上午9点我要去医院体检,`2025-07-05 10:34:12,日程,就医,去医院体检,,,是,0,`2025-07-29 09:00:00,,,否,,,,7月29号,上午9点
用户:下个月上午9点我要去医院体检,`2025-07-04 10:34:12,日程,就医,去医院体检,,,是,0,`2025-08-01 09:00:00,,,否,,,,下个月,上午9点
用户:2025年9月29号上午9点我要去医院体检,`2025-07-05 10:34:12,日程,就医,去医院体检,,,是,0,`2025-09-29 09:00:00,,,否,,,,2025年9月29号,上午9点
用户:今天晚上约龙江一起吃个饭,`2025-07-05 10:34:12,日程,约见,约龙江一起吃饭,,龙江,否,1,,,,否,,,,今天,晚上
用户:后天早晨坐火车去南京帮我记一下,`2025-07-05 10:34:12,日程,出行,坐火车去南京,南京,,否,1,,,,否,,,,后天,早晨
用户:明天博览会,`2025-07-05 10:34:12,日程,展会,博览会,,,否,1,,,,否,,,,明天,
用户:帮我记一下，明天早上我要买个手手机,`2025-07-05 10:34:12,待办,购物,买个手手机,,,否,1,,,,否,,,,明天,早上
用户:下周一博览会,`2025-07-05 10:34:12,日程,展会,博览会,,,否,1,,,,否,,,,下周一,
用户:9月3号，我和李总约了吃饭,`2025-07-05 10:34:12,日程,约见,和李总吃饭,,李总,否,1,,,,否,,,,9月3号,
用户:9月17号我要开一个需求评审会,`2025-07-05 10:34:12,日程,会议,开一个需求评审会,,,否,1,,,,否,,,,9月17号,
用户:后天我要开一个汇报会,`2025-07-05 10:34:12,日程,会议,开一个汇报会,,,否,1,,,,否,,,,后天,
用户:9月3日是反法西斯纪念日，帮我记个日程，庆贺一下,`2025-07-05 10:34:12,日程,纪念日,庆贺反法西斯纪念日,,,否,1,,,,否,,,,9月3日,
用户:12月14号下午; 你:好嘞，啥事啊？; 用户:开需求会,`2025-07-05 10:34:12,日程,会议,开需求会,,,否,1,,,,否,,,,12月14号,下午
用户:8月1日全天参加博览会,`2025-07-05 10:34:12,日程,展会,参加博览会,,,否,1,,,,否,,,,8月1日,
用户:9月1日至3日参加博览会,`2025-07-05 10:34:12,日程,展会,参加博览会,,,否,1,,,,否,,,,9月1日,
用户:提醒我明天取干洗衣物; 你:好嘞，几点提醒你？; 用户:七点提醒我，谢谢。,`2025-07-05 10:34:12,待办,购物,取干洗衣物,,,是,0,`2025-07-06 07:00:00,,`2025-07-06 07:00:00,否,,,,明天,七点
用户:帮我记一下，后天上午3:00~5:00开需求会，在方正大厦提前半个小时提醒我,`2025-07-05 10:34:12,日程,会议,开需求会,方正大厦,,是,0,`2025-07-07 03:00:00,`2025-07-07 05:00:00,`2025-07-07 02:30:00,否,,,,后天,上午3:00
用户:帮我记一下，我要买个手手机; 你:好嘞，啥时候提醒你呀？; 用户:明天早上吧,`2025-07-05 10:34:12,待办,购物,买个手机,,,否,1,,,,否,,,,明天,早上
用户:提醒我下周二给妈妈打电话; 你:没问题，几点提醒你？; 用户:中午十二点提醒我,`2025-07-05 14:46:28,待办,通讯,给妈妈打电话,,妈妈,是,0,`2025-07-08 12:00:00,,`2025-07-08 12:00:00,否,,,,下周二,中午十二点
用户:记下周末要洗车; 你:没问题，啥时候提醒你？; 用户:今晚10点提醒我,`2025-07-05 09:34:44,待办,生活,洗车,,,是,0,`2025-07-05 22:00:00,,`2025-07-05 22:00:00,否,,,,今晚,10点
用户:帮我建个日程; 你:好嘞，记啥事？啥时候开始？; 用户:明天中午11点,`2025-07-05 09:36:35,日程,,,,,是,0,`2025-07-06 11:00:00,,,否,,,,明天,中午11点
用户:5点要开一个小时的讨论会; 你:下午5点半还有出去聚餐，可能比较赶，开一个小时的讨论会需要改个时间吗？; 用户:讨论会往前半个小时吧,`2025-07-05 09:34:12,日程,会议,开讨论会,,,是,0,`2025-07-05 16:30:00,`2025-07-05 17:30:00,,否,,,,,4点30分
用户:帮我创建一个日程; 你:没问题，啥事？啥时候开始？; 用户:下周六晚上10:30; 你:好嘞，多久开始？在哪儿啊？; 用户:在海鲜面馆,`2025-07-05 09:41:12,日程,约见,,海鲜面馆,,是,0,`2025-07-12 22:30:00,,,否,,,,下周六,晚上10:30
用户:帮我创建一个日程; 你:没问题，啥事？啥时候开始？; 用户:下周六晚上10:30; 你:好嘞，多久开始？在哪儿啊？; 用户:在海鲜面馆; 你:好的，提前多久提醒你？; 用户:提前两个小时,`2025-07-05 09:26:12,日程,约见,,海鲜面馆,,是,0,`2025-07-12 22:30:00,,`2025-07-12 20:30:00,否,,,,下周六,晚上10:30
用户:周日晚上6点约了朋友在海鲜面馆; 你:收到啦，要持续多久啊？; 用户:持续三个小时; 你:没问题，啥时候提醒你？; 用户:明天下午5:30提醒我。,`2025-07-05 12:52:12,日程,约见,约了朋友在海鲜面馆,海鲜面馆,朋友,是,0,`2025-07-06 18:00:00,`2025-07-06 21:00:00,`2025-07-05 17:30:00,否,,,,周日,晚上6点
用户:帮我建个日程; 你:好嘞，记啥事？啥时候开始？; 用户:明天中午11点,`2025-07-05 11:52:12,日程,,,,,是,0,`2025-07-06 11:00:00,,,否,,,,明天,中午11点
用户:这周五中午12点有个健身课，帮我记一下; 你:周五12点到13点已经安排家庭聚餐了。健身课要换个时间吗？; 用户:改到周六22点。; 你:什么时间提醒你？; 用户:提前15分钟提醒我,`2025-07-02 06:52:12,日程,运动,健身课,,,是,0,`2025-07-05 22:00:00,,`2025-07-05 21:45:00,否,,,,这周六,22点
用户:记下周三团队聚餐; 你:好嘞，啥时候开始？; 用户:下周三晚上六点开始; 你:下周三下午6点到晚上9点已经有同学聚会了。下周三团队聚餐要换个时间吗？; 用户:改到周四晚上六点; 你:那我提前多久提醒你呀？; 用户:设置开始前10分钟提醒。,`2025-07-05 12:52:12,日程,约见,团队聚餐,,团队,是,0,`2025-07-10 18:00:00,,`2025-07-10 17:50:00,否,,,,周四,晚上六点
用户:记下周三团队聚餐; 你:好嘞，啥时候开始？; 用户:下周三晚上六点开始; 你:下周三下午6点到晚上9点已经有同学聚会了。下周三团队聚餐要换个时间吗？; 用户:改到下周四晚上六点; 你:那我提前多久提醒你呀？; 用户:设置开始前10分钟提醒。,`2025-07-05 12:52:12,日程,约见,团队聚餐,,团队,是,0,`2025-07-10 18:00:00,,`2025-07-10 17:50:00,否,,,,下周四,晚上6点
用户:记下周三团队聚餐; 你:好嘞，啥时候开始？; 用户:下周三晚上六点开始; 你:下周三下午6点到晚上9点已经有同学聚会了。下周三团队聚餐要换个时间吗？; 用户:改到这周四晚上六点; 你:那我提前多久提醒你呀？; 用户:设置开始前10分钟提醒。,`2025-07-05 12:52:12,日程,约见,团队聚餐,,团队,是,0,`2025-07-03 18:00:00,,`2025-07-03 17:50:00,否,,,,这周四,晚上6点
